Med	Gen	Rep	Perm	FY
12	17	3	67	29.781
12	17	4	68	29.56
12	18	1	69	62.31
12	18	2	70	46.36
12	18	3	71	68.714
12	18	4	72	20.583
12	19	1	73	47.03
12	19	2	74	49.87
12	19	3	75	53.546
12	19	4	76	59.98
12	20	1	77	36.201
12	20	2	78	11.658
12	20	3	79	16.806
12	20	4	80	53.766
12	21	1	81	4.026
12	21	2	82	0.903
12	21	3	83	1.503
12	21	4	84	0.874
12	22	1	85	73.29
12	22	2	86	46.963
12	22	3	87	77.132
12	22	4	88	39.633
12	23	1	89	27.348
12	23	2	90	89.111
12	23	3	91	68.031
12	23	4	92	47.315
12	24	1	93	19.938
12	24	2	94	47.906
12	24	3	95	23.706
12	24	4	96	44.206
